trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 1.0}",30,0,-240.4347990321852,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 5}",0
2,False,"{'a': 1, 'e': 0.5}",25,17,-11.184409092154949,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 1, 'e': 0.3333333333333333}",25,0,-130.0374003856996,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
4,False,"{'a': 1, 'e': 0.25}",20,0,-81.3027698355273,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 1, 'e': 0.2}",25,0,-24.738184245457198,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 1, 'e': 0.16666666666666666}",30,0,-68.8965804794065,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 1, 'e': 0.14285714285714285}",20,5,-15.726880654925022,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 1, 'e': 0.125}",35,21,-76.4810260596308,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 2}",1
9,False,"{'a': 1, 'e': 0.1111111111111111}",25,18,11.703019680895235,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 1, 'e': 0.1}",25,0,-33.899271379889704,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 1, 'e': 0.09090909090909091}",20,0,-59.202613621720545,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 1, 'e': 0.08333333333333333}",20,0,-14.336896969256358,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
13,False,"{'a': 1, 'e': 0.07692307692307693}",20,0,28.585894984635768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 1, 'e': 0.07142857142857142}",30,11,-8.910878658294479,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 1, 'e': 0.06666666666666667}",25,11,16.783007248793528,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 1, 'e': 0.0625}",25,13,22.927024455058756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 1, 'e': 0.058823529411764705}",20,11,13.82597137023419,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 1, 'e': 0.05555555555555555}",20,0,-28.744072726216647,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 1, 'e': 0.05263157894736842}",30,0,6.408554955642225,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 1, 'e': 0.05}",20,3,-11.11585135027985,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 1, 'e': 0.047619047619047616}",20,0,-77.4217210162538,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 1, 'e': 0.045454545454545456}",30,10,-25.002884295648933,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 1, 'e': 0.043478260869565216}",35,10,32.6561597112136,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 1, 'e': 0.041666666666666664}",20,13,12.978089084713126,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 1, 'e': 0.04}",20,10,-22.31390000935464,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 1, 'e': 0.038461538461538464}",30,16,24.50240940561876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 1, 'e': 0.037037037037037035}",20,3,7.303156256838701,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 1, 'e': 0.03571428571428571}",20,0,-12.669588225159238,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
29,False,"{'a': 1, 'e': 0.034482758620689655}",20,0,21.958164136984756,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 1, 'e': 0.03333333333333333}",35,8,43.46935979573664,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 1, 'e': 0.03225806451612903}",20,0,1.2776910552161662,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 1, 'e': 0.03125}",20,4,-20.633539880317482,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 1, 'e': 0.030303030303030304}",25,7,34.211146606962835,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 1, 'e': 0.029411764705882353}",25,13,-22.576324195030878,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 1, 'e': 0.02857142857142857}",20,6,1.3329775130934227,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 1, 'e': 0.027777777777777776}",35,15,20.567529820489366,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 1, 'e': 0.02702702702702703}",20,12,11.306197394847722,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 1, 'e': 0.02631578947368421}",20,8,11.790477029702153,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 1, 'e': 0.02564102564102564}",25,0,18.35529735913335,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 1, 'e': 0.025}",30,13,17.360050145201907,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 1, 'e': 0.024390243902439025}",30,15,31.970425380987848,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 1, 'e': 0.023809523809523808}",30,15,24.391065819748462,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 1, 'e': 0.023255813953488372}",20,3,-8.78601238561499,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 1, 'e': 0.022727272727272728}",25,16,17.459780107030802,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
